date,open,high,low,close,volume,average,barCount
2025-08-27 12:22:00-04:00,229.82,229.86,229.8,229.81,18779.0,229.831,128
2025-08-27 12:23:00-04:00,229.81,229.84,229.78,229.8,13972.0,229.803,77
2025-08-27 12:24:00-04:00,229.8,229.82,229.74,229.78,29278.0,229.782,168
2025-08-27 12:25:00-04:00,229.77,229.8,229.72,229.76,19714.0,229.762,117
2025-08-27 12:26:00-04:00,229.76,229.82,229.68,229.78,50031.0,229.743,292
2025-08-27 12:27:00-04:00,229.75,229.82,229.75,229.79,16894.0,229.79,117
2025-08-27 12:28:00-04:00,229.78,229.89,229.75,229.87,27374.0,229.824,149
2025-08-27 12:29:00-04:00,229.88,229.9,229.83,229.89,18141.0,229.874,104
2025-08-27 12:30:00-04:00,229.89,229.93,229.87,229.9,21870.0,229.893,136
2025-08-27 12:31:00-04:00,229.89,229.93,229.86,229.87,39335.0,229.903,224
2025-08-27 12:32:00-04:00,229.86,229.99,229.85,229.99,40633.0,229.903,223
2025-08-27 12:33:00-04:00,229.98,229.98,229.82,229.87,25768.0,229.877,131
2025-08-27 12:34:00-04:00,229.87,229.89,229.8,229.8,22593.0,229.85,133
2025-08-27 12:35:00-04:00,229.8,229.87,229.78,229.85,20278.0,229.824,140
2025-08-27 12:36:00-04:00,229.86,229.88,229.77,229.78,23678.0,229.824,118
2025-08-27 12:37:00-04:00,229.78,229.82,229.66,229.72,36922.0,229.73,281
2025-08-27 12:38:00-04:00,229.73,229.77,229.7,229.72,19288.0,229.729,111
2025-08-27 12:39:00-04:00,229.72,229.75,229.67,229.74,19970.0,229.712,125
2025-08-27 12:40:00-04:00,229.73,229.8,229.65,229.77,27483.0,229.717,180
2025-08-27 12:41:00-04:00,229.77,229.86,229.77,229.85,12392.0,229.819,87
2025-08-27 12:42:00-04:00,229.86,229.86,229.8,229.82,26961.0,229.831,139
2025-08-27 12:43:00-04:00,229.82,229.83,229.76,229.77,14414.0,229.78,81
2025-08-27 12:44:00-04:00,229.79,229.79,229.65,229.66,17479.0,229.735,107
2025-08-27 12:45:00-04:00,229.66,229.67,229.6,229.65,24773.0,229.638,152
2025-08-27 12:46:00-04:00,229.64,229.71,229.64,229.7,26183.0,229.666,119
2025-08-27 12:47:00-04:00,229.69,229.75,229.66,229.75,13865.0,229.708,85
2025-08-27 12:48:00-04:00,229.74,229.76,229.7,229.76,14589.0,229.737,83
2025-08-27 12:49:00-04:00,229.76,229.84,229.75,229.84,15265.0,229.788,91
2025-08-27 12:50:00-04:00,229.84,229.88,229.81,229.86,24462.0,229.847,144
2025-08-27 12:51:00-04:00,229.87,229.9,229.81,229.81,20753.0,229.869,120
2025-08-27 12:52:00-04:00,229.82,229.85,229.79,229.84,12822.0,229.822,86
2025-08-27 12:53:00-04:00,229.83,229.9,229.83,229.88,24307.0,229.864,143
2025-08-27 12:54:00-04:00,229.88,229.89,229.84,229.86,33980.0,229.869,120
2025-08-27 12:55:00-04:00,229.87,229.87,229.8,229.82,27117.0,229.827,123
2025-08-27 12:56:00-04:00,229.82,229.88,229.82,229.87,14548.0,229.849,89
2025-08-27 12:57:00-04:00,229.87,229.88,229.81,229.86,19563.0,229.845,113
2025-08-27 12:58:00-04:00,229.86,229.89,229.78,229.8,21554.0,229.835,140
2025-08-27 12:59:00-04:00,229.79,229.84,229.78,229.78,29385.0,229.805,156
2025-08-27 13:00:00-04:00,229.77,229.79,229.67,229.73,39142.0,229.735,214
2025-08-27 13:01:00-04:00,229.75,229.81,229.75,229.8,28201.0,229.788,144
2025-08-27 13:02:00-04:00,229.8,229.8,229.73,229.75,40470.0,229.756,201
2025-08-27 13:03:00-04:00,229.76,229.82,229.75,229.77,39182.0,229.79,165
2025-08-27 13:04:00-04:00,229.78,229.87,229.77,229.84,19630.0,229.84,75
2025-08-27 13:05:00-04:00,229.83,229.88,229.82,229.86,13070.0,229.847,80
2025-08-27 13:06:00-04:00,229.86,229.93,229.86,229.9,23763.0,229.893,116
2025-08-27 13:07:00-04:00,229.92,229.98,229.91,229.97,20298.0,229.94,99
2025-08-27 13:08:00-04:00,229.97,230.03,229.96,230.03,34880.0,230.0,155
2025-08-27 13:09:00-04:00,230.03,230.06,230.0,230.06,18595.0,230.032,92
2025-08-27 13:10:00-04:00,230.05,230.07,230.01,230.07,16015.0,230.03,86
2025-08-27 13:11:00-04:00,230.08,230.08,230.01,230.06,31768.0,230.045,133
2025-08-27 13:12:00-04:00,230.07,230.07,229.99,230.05,18473.0,230.031,108
2025-08-27 13:13:00-04:00,230.04,230.09,229.99,230.01,35413.0,230.042,199
2025-08-27 13:14:00-04:00,230.02,230.02,229.96,229.99,23345.0,229.994,138
2025-08-27 13:15:00-04:00,229.99,230.03,229.95,229.97,20355.0,230.002,130
2025-08-27 13:16:00-04:00,229.97,230.01,229.95,230.01,17269.0,229.993,119
2025-08-27 13:17:00-04:00,230.0,230.01,229.86,229.87,27479.0,229.95,158
2025-08-27 13:18:00-04:00,229.86,229.94,229.84,229.94,31063.0,229.874,155
2025-08-27 13:19:00-04:00,229.95,229.95,229.86,229.87,21832.0,229.888,105
2025-08-27 13:20:00-04:00,229.89,229.9,229.85,229.85,9717.0,229.868,60
2025-08-27 13:21:00-04:00,229.86,229.98,229.85,229.92,27748.0,229.909,172
2025-08-27 13:22:00-04:00,229.91,229.97,229.9,229.95,12429.0,229.936,62
2025-08-27 13:23:00-04:00,229.95,229.99,229.94,229.96,12877.0,229.967,74
2025-08-27 13:24:00-04:00,229.96,230.0,229.95,229.99,9040.0,229.978,61
2025-08-27 13:25:00-04:00,229.99,230.0,229.83,229.85,20256.0,229.895,144
2025-08-27 13:26:00-04:00,229.84,229.88,229.82,229.83,16996.0,229.839,65
2025-08-27 13:27:00-04:00,229.83,229.85,229.82,229.83,21173.0,229.836,105
2025-08-27 13:28:00-04:00,229.84,229.91,229.82,229.82,19045.0,229.86,124
2025-08-27 13:29:00-04:00,229.82,229.85,229.8,229.84,14398.0,229.824,78
2025-08-27 13:30:00-04:00,229.85,229.88,229.82,229.84,18301.0,229.855,112
2025-08-27 13:31:00-04:00,229.85,229.9,229.8,229.89,27487.0,229.849,123
2025-08-27 13:32:00-04:00,229.88,229.89,229.85,229.88,16641.0,229.868,104
2025-08-27 13:33:00-04:00,229.89,229.92,229.88,229.91,19379.0,229.903,92
2025-08-27 13:34:00-04:00,229.91,229.91,229.84,229.86,19178.0,229.871,149
2025-08-27 13:35:00-04:00,229.86,229.95,229.85,229.93,17047.0,229.897,117
2025-08-27 13:36:00-04:00,229.92,229.92,229.89,229.92,13736.0,229.908,73
2025-08-27 13:37:00-04:00,229.92,229.95,229.91,229.92,13888.0,229.928,70
2025-08-27 13:38:00-04:00,229.91,229.94,229.91,229.93,16007.0,229.927,72
2025-08-27 13:39:00-04:00,229.93,229.96,229.9,229.93,28304.0,229.934,125
2025-08-27 13:40:00-04:00,229.92,229.99,229.92,229.93,34168.0,229.949,229
2025-08-27 13:41:00-04:00,229.93,229.94,229.85,229.94,33517.0,229.906,183
2025-08-27 13:42:00-04:00,229.94,229.97,229.9,229.92,12718.0,229.928,66
2025-08-27 13:43:00-04:00,229.91,229.98,229.9,229.97,15186.0,229.946,88
2025-08-27 13:44:00-04:00,229.96,229.99,229.95,229.98,17371.0,229.969,78
2025-08-27 13:45:00-04:00,229.98,229.99,229.95,229.98,14205.0,229.98,65
2025-08-27 13:46:00-04:00,229.98,230.04,229.97,230.03,25680.0,230.01,143
2025-08-27 13:47:00-04:00,230.02,230.06,230.01,230.04,23699.0,230.038,129
2025-08-27 13:48:00-04:00,230.04,230.04,229.96,229.98,17708.0,229.988,83
2025-08-27 13:49:00-04:00,229.98,230.0,229.93,229.98,22912.0,229.973,142
2025-08-27 13:50:00-04:00,229.99,230.0,229.9,229.9,19180.0,229.955,149
2025-08-27 13:51:00-04:00,229.9,230.04,229.89,230.03,28027.0,229.973,158
2025-08-27 13:52:00-04:00,230.03,230.05,229.99,230.05,22378.0,230.025,85
2025-08-27 13:53:00-04:00,230.05,230.07,230.02,230.06,29356.0,230.048,89
2025-08-27 13:54:00-04:00,230.05,230.08,230.01,230.06,54816.0,230.041,111
2025-08-27 13:55:00-04:00,230.06,230.07,230.01,230.02,20284.0,230.033,90
2025-08-27 13:56:00-04:00,230.02,230.05,229.98,229.99,8965.0,230.03,56
2025-08-27 13:57:00-04:00,229.99,230.02,229.99,230.01,11646.0,230.008,50
